District_Code,State_Name,Population,Male,Female,Literate,Male_Literate,Female_Literate,Scheduled_Caste,Scheduled_Tribe,Workers_Total,Workers_Male,Workers_Female,Workers_Main,Workers_Marginal,Non_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Households_LPG_PNG,Households_Electric_Lighting,Households_Internet,Households_Computer,Households_Rural,Households_Urban,Households_Total,Education_Literate,Education_Illiterate,Education_Total,Age_0_29,Age_30_49,Age_50_plus,Households_Bicycle,Households_Car,Households_Two_Wheeler,Households_Phone,Households_TV,Households_Bathroom,Households_Toilet,State,District,Latitude,Longitude,Sex_Ratio,Literacy_Rate
235,BIHAR,2540073,1318684,1221389,1466002,868733,597269,612064,1033,837770,599157,238613,480286,357484,1702303,2291133,237353,2218,295,334,775,24106,44456,2362,31168,428291,49006,477297,1833998,784131,2618129,1626969,564571,340948,195301,7145,32335,235248,45871,166509,84329,Bihar,Aurangabad,24.774291867469877,84.45986024096379,926.218108356513,57.71495543632014
235,BIHAR,2540073,1318684,1221389,1466002,868733,597269,612064,1033,837770,599157,238613,480286,357484,1702303,2291133,237353,2218,295,334,775,24106,44456,2362,31168,428291,49006,477297,1833998,784131,2618129,1626969,564571,340948,195301,7145,32335,235248,45871,166509,84329,Maharashtra,Aurangabad,20.0979228832952,75.32072196796334,926.218108356513,57.71495543632014
236,BIHAR,4391418,2266566,2124852,2297613,1368803,928810,1334351,3098,1664062,1076170,587892,1007057,657005,2727356,3876395,488121,3943,913,870,1723,57738,112617,6856,57011,696289,111282,807571,2784730,1953368,4738098,2810026,936630,537333,294227,11827,59202,383973,107970,260921,167232,Bihar,Gaya,24.7266541547278,84.94291217765044,937.4763408610206,52.32052608064184
237,BIHAR,2219146,1144668,1074478,1091012,659474,431538,565112,2045,817041,539439,277602,508509,308532,1402105,1964620,244394,1299,250,176,279,20522,31162,1841,28411,379551,45323,424874,1489517,1091439,2580956,1440781,485628,288805,75606,3991,15948,182748,34020,132057,77297,Bihar,Nawada,24.825708836206903,85.61594568965519,938.6809100979499,49.163597167559054
238,BIHAR,1760405,916064,844341,858588,534385,324203,302649,78793,727571,452288,275283,445352,282219,1032834,1525746,217621,8443,162,159,87,12984,32633,1839,22414,325909,30851,356760,1085477,765297,1850774,1135919,392052,227016,113424,4842,18411,159792,27056,64170,45733,Bihar,Jamui,24.78418380462726,86.26316298200514,921.7052520347924,48.77218594584769
239,BIHAR,1125313,585582,539731,618881,374412,244469,222974,1285,365378,266423,98955,251690,113688,759935,1045117,75742,691,148,248,60,15507,27641,1106,11302,186660,28132,214792,725997,495877,1221874,714244,254582,155106,69637,2522,13682,100130,32086,74772,50439,Bihar,Jehanabad,25.155679045643165,84.9208124481328,921.7001205638151,54.99634323961422
245,ARUNACHAL PRADESH,49977,29151,20826,26073,17720,8353,0,34811,28561,19554,9007,24430,4131,21416,11842,787,776,1164,34920,72,3794,8635,96,494,10730,2452,13182,19838,19203,39041,30709,13849,5399,105,895,205,4036,4824,3562,7026,Arunachal Pradesh,Tawang,27.680683962264148,91.82504245283016,714.418030256252,52.169998199171616
246,ARUNACHAL PRADESH,83947,46155,37792,48492,29566,18926,0,46380,42493,28313,14180,34752,7741,41454,31265,1970,8466,328,36087,71,7133,14188,202,887,17889,6306,24195,40193,25606,65799,53026,22362,8493,348,1299,1045,7942,8634,7421,8253,Arunachal Pradesh,West Kameng,27.46486582278483,92.65015750452083,818.8061965117539,57.76501840446948
247,ARUNACHAL PRADESH,78690,38775,39915,38449,21599,16850,0,72400,31710,16424,15286,27123,4587,46980,12333,652,37136,36,452,23,3583,5318,57,885,14503,5215,19718,44247,31763,76010,53752,17922,6960,755,577,1382,4178,3169,4477,4703,Arunachal Pradesh,East Kameng,27.371194055944056,93.04741486013997,1029.4003868471953,48.861354682933026
248,ARUNACHAL PRADESH,176573,89182,87391,121048,65794,55254,0,117216,65772,41263,24509,51157,14615,110801,57027,6148,84397,310,4768,139,22966,30539,2477,7418,20308,30180,50488,110815,30360,141175,120592,43812,11856,3898,6454,8668,27411,23203,23052,25706,Arunachal Pradesh,Papum Pare,27.273529716981127,93.54468183962264,979.9174721356327,68.55408244748631
