District_Code,State_Name,Population,Male,Female,Literate,Male_Literate,Female_Literate,Scheduled_Caste,Scheduled_Tribe,Workers_Total,Workers_Male,Workers_Female,Workers_Main,Workers_Marginal,Non_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Households_LPG_PNG,Households_Electric_Lighting,Households_Internet,Households_Computer,Households_Rural,Households_Urban,Households_Total,Education_Literate,Education_Illiterate,Education_Total,Age_0_29,Age_30_49,Age_50_plus,Households_Bicycle,Households_Car,Households_Two_Wheeler,Households_Phone,Households_TV,Households_Bathroom,Households_Toilet,State,District,Latitude,Longitude,Sex_Ratio,Literacy_Rate
321,ASSAM,1517542,778461,739081,995319,550219,445100,107827,182038,628954,428492,200462,421244,207710,888588,877495,601784,33297,319,185,1330,70272,122191,3109,23468,390596,43849,434445,1142942,392678,1535620,895775,408232,212740,199425,10052,34461,164899,90941,124575,180800,Assam,Kamrup,26.170939452054807,91.58863273972592,949.4130084872588,65.58757517090137
323,ASSAM,771639,396006,375633,531771,293184,238587,60216,23364,267623,210202,57421,196773,70850,504016,491582,277488,429,62,27,1004,37849,68313,1631,12360,210706,28238,238944,606629,188960,795589,442061,211320,117809,107774,4785,18810,86710,45938,80855,103600,Assam,Nalbari,26.46323767605632,91.40598521126763,948.5538097907607,68.91447943921963
325,ASSAM,928500,475273,453227,487039,268666,218373,40260,8419,324843,246864,77979,241456,83387,603657,327322,597392,1688,431,57,724,17676,45444,1166,12084,268517,20189,288706,575240,375556,950796,583436,226525,118102,109858,3533,13662,72141,30616,46789,95080,Assam,Darrang,26.58463215962442,92.04141338028155,953.6140281480328,52.4543887991384
327,WEST BENGAL,1846823,937259,909564,1315585,717673,597912,317275,397389,683726,479586,204140,532855,150871,1163097,1366681,105086,141848,2032,209240,1840,141897,297176,10943,38065,303284,215675,518959,1343837,415353,1759190,1031221,523288,289979,125953,15192,39828,239601,222987,196540,251140,West Bengal,Darjiling,26.839619571045585,88.33145067024122,970.4510706218879,71.23503443481049
328,WEST BENGAL,3872846,1983064,1889782,2498780,1396622,1102158,1458278,731704,1512910,1091361,421549,1153765,359145,2359936,3156781,445817,186279,2994,50676,1461,138522,382500,9322,48818,798378,319426,1117804,2626587,1203423,3830010,2259507,1035449,575667,502539,16431,67075,332800,268908,302540,428531,West Bengal,Jalpaiguri,26.62642031250004,89.04154375000003,952.9606709617037,64.5205102397565
330,WEST BENGAL,3007134,1551066,1456068,1489667,853495,636172,807950,162816,1075626,799627,275999,824342,251284,1931508,1482943,1501170,16702,477,432,1324,39138,199307,2883,31210,683981,94269,778250,1622095,1431264,3053359,1916033,704859,385155,362567,8150,31859,198832,105431,179022,164644,West Bengal,Uttar Dinajpur,26.044619165196977,88.23595232216337,938.7530898104917,49.53776585945289
331,WEST BENGAL,1676276,857199,819077,1083685,596474,487211,482754,275366,702987,499560,203427,526470,176517,973289,1232850,412788,24794,276,148,323,37186,168069,2518,24318,390949,70077,461026,1155081,534394,1689475,937283,465982,271423,225689,6211,20163,154925,103980,86762,145974,West Bengal,Dakshin Dinajpur,25.342094363021435,88.69821679819614,955.5272462987008,64.64836339600399
332,WEST BENGAL,3988845,2051541,1937304,2086432,1152019,934413,835430,313984,1537847,1086461,451386,1050995,486852,2450998,1914352,2045151,13209,747,359,639,54213,297716,5357,63525,830318,128678,958996,2161924,1960034,4121958,2511004,955283,520122,401774,9639,41600,295922,142659,175732,266247,West Bengal,Maldah,25.08026802575105,88.17191684549356,944.3164918468605,52.30667022659442
333,WEST BENGAL,7103807,3627564,3476243,4055834,2177187,1878647,897534,91035,2589907,1985667,604240,2022083,567824,4513900,2359061,4707573,18102,766,348,3037,92742,541169,7951,79729,1501066,350899,1851965,4346870,3031841,7378711,4390564,1717594,991413,840951,14050,74313,530442,296566,388157,617358,West Bengal,Murshidabad,24.25950655391121,88.16816860465121,958.2857807608632,57.09380899565543
334,WEST BENGAL,3502404,1790920,1711484,2158447,1201481,956966,1033140,242484,1331603,1029770,301833,912844,418759,2170801,2181515,1298054,10906,582,258,1152,57010,333752,5210,39636,831044,134565,965609,2200345,1346802,3547147,2008655,952059,539463,451618,7305,54557,272320,191514,186877,195797,West Bengal,Birbhum,24.06389342723,87.65153089201888,955.6451432783151,61.62758493880204
335,WEST BENGAL,7717563,3966889,3750674,5247208,2918040,2329168,2115719,489447,2911251,2293083,618168,2166742,744509,4806312,6008472,1599764,21220,16675,1602,1674,292585,1049943,32323,141387,1364868,862368,2227236,5449930,2196886,7646816,4149420,2265543,1292913,1104486,46714,263368,930784,747286,804546,949552,West Bengal,Barddhaman,23.444453888888884,87.8150581111111,945.4950718308478,67.99047834141425
336,WEST BENGAL,5167600,2653768,2513832,3480555,1878866,1601689,1546917,140700,1842607,1554090,288517,1595880,246727,3324993,3728482,1382682,33835,849,514,281,168314,623729,12787,77210,1081381,468390,1549771,3635454,1570127,5205581,2745828,1484986,934417,796698,18658,76698,544290,384314,456320,955780,West Bengal,Nadia,23.56410971055088,88.58293034547152,947.268939862113,67.35341357690223
338,WEST BENGAL,5519145,2814653,2704492,4078388,2211777,1866611,1344021,229243,2152870,1713608,439262,1714645,438225,3366275,4574569,870204,7300,2662,1730,2160,319815,965258,31725,118459,992085,647953,1640038,4297751,1180806,5478557,2766489,1688206,1060821,903374,24013,167753,780325,628340,613305,903933,West Bengal,Hugli,22.87929264705881,88.00010264705891,960.8616053204428,73.89528631699294
339,WEST BENGAL,3596674,1838095,1758579,2232992,1299337,933655,1174447,368690,1466220,1050822,415398,916393,549827,2130454,3033581,290450,3865,386,260,2904,45126,334670,4273,34128,900515,90885,991400,2241357,1417787,3659144,1942335,1014764,637834,546543,7898,72350,297338,177819,136050,153487,West Bengal,Bankura,23.081280892857155,87.12640053571437,956.7399943963724,62.08491511880143
340,WEST BENGAL,2930115,1496996,1433119,1624905,1002058,622847,567767,540652,1249642,801254,448388,613398,636244,1680473,2373120,227249,8646,622,209,3052,30675,189889,3551,32862,653219,99433,752652,1664428,1272799,2937227,1678057,764776,484166,393127,6602,49630,191057,104489,66231,67448,West Bengal,Puruliya,23.254192328767108,86.3968532876713,957.3298793049547,55.455331957960695
341,WEST BENGAL,4850029,2500819,2349210,3605206,1942824,1662382,718951,15094,1819845,1498170,321675,1496267,323578,3030184,3535844,1270641,8666,4380,1258,9699,325053,796953,30751,99261,483384,869313,1352697,3733165,926661,4659826,2587164,1423304,833104,576054,22295,122818,659579,539312,455139,768670,West Bengal,Haora,22.401674174428507,87.99421176968654,939.3762603371135,74.33369986035136
342,WEST BENGAL,4496694,2356766,2139928,3588137,1926915,1661222,241932,10684,1795740,1412466,383274,1576419,219321,2700954,3440290,926414,39758,13849,4771,21178,623579,927602,136618,252644,0,1308106,1308106,3436193,410988,3847181,2025389,1433314,1014769,252887,85605,117173,857883,816141,868116,915319,West Bengal,Kolkata,22.550581481481483,88.3527648148148,907.9934113102446,79.79500050481532
346,JHARKHAND,1322784,683575,639209,653476,405161,248315,319946,205874,571431,335451,235980,175126,396305,751353,1104475,194680,17168,123,371,20,6798,29373,565,8881,272872,19180,292052,716376,557852,1274228,860869,284036,177599,108161,2671,16578,100748,21864,37316,18018,Jharkhand,Garhwa,24.082114689265527,83.68664265536722,935.097099806166,49.4015651837337
347,JHARKHAND,1042886,533935,508951,510061,303902,206159,340553,45563,397690,251213,146477,195502,202188,645196,903179,116710,6565,888,35,129,5307,27037,590,9115,200974,14528,215502,587378,467975,1055353,692650,222892,126682,90400,2110,15107,82823,17627,31242,18298,Jharkhand,Chatra,24.11619945750453,84.93295804701627,953.2077874647663,48.908605542695945
349,JHARKHAND,2445474,1258098,1187376,1253475,783736,469739,325493,238188,1036277,623946,412331,412912,623365,1409197,1856202,508586,14645,937,650,1503,16909,125431,1944,19976,452564,46886,499450,1496125,1047685,2543810,1597269,533788,312967,226550,6290,57582,242670,63911,65411,42269,Jharkhand,Giridih,24.30578509874329,86.08710915619386,943.7865730650553,51.256934238515726
350,JHARKHAND,1492073,775022,717051,793538,489837,303701,190036,180962,551467,383691,167776,297146,254321,940606,1165140,302626,6027,143,188,282,26760,130193,1944,13550,257373,64337,321710,875351,635544,1510895,944961,338413,205514,174959,3714,32553,126305,64890,51685,42762,Jharkhand,Deoghar,24.33070100755672,86.75697632241814,925.2008330086113,53.18359088328788
351,JHARKHAND,1313551,677927,635624,604519,376212,228307,115567,279208,552191,344019,208172,235735,316456,761360,937126,289182,37795,97,128,115,7421,43230,874,11925,276454,15576,292030,696847,653464,1350311,820367,308639,183519,133332,1754,19859,89533,25764,35837,26348,Jharkhand,Godda,24.8189,87.2941735483871,937.5994760497812,46.02173802159185
352,JHARKHAND,1150567,589391,561176,483263,287303,195960,72341,308343,490202,295690,194512,322572,167630,660365,628044,398243,83208,198,245,125,11545,34879,591,9563,223450,37543,260993,531397,637296,1168693,745027,261849,137727,95511,1285,10359,64808,24604,35220,34451,Jharkhand,Sahibganj,24.93667989690721,87.68264097938142,952.1285530318582,42.00216067382429
353,JHARKHAND,900422,452661,447761,352881,206989,145892,28469,379054,404584,234012,170572,252017,152567,495838,410127,322963,75865,356,283,222,5316,31414,328,4535,200588,16587,217175,370163,548434,918597,587976,206826,104418,102037,923,9725,39592,16500,15762,18395,Jharkhand,Pakur,24.57260428082189,87.69691969178076,989.1751222217068,39.19062395188034
354,JHARKHAND,2684487,1405956,1278531,1722204,1014950,707254,437309,233119,844504,658851,185653,546714,297790,1839983,2149480,431762,11243,9727,331,1268,83995,427173,11568,46646,258764,405455,664219,1882625,662522,2545147,1634835,648876,356445,283681,18631,131398,328776,290580,224918,198464,Jharkhand,Dhanbad,23.854509090909097,86.40372924901185,909.3677184776764,64.15393332133849
355,JHARKHAND,2062330,1072807,989523,1273520,759088,514432,299227,255626,685368,507677,177691,380304,305064,1376962,1636460,241451,13730,4174,1890,2045,67157,274726,9754,37997,250312,258452,508764,1448037,595924,2043961,1261238,510375,282115,247231,21098,108998,239204,179570,149320,130956,Jharkhand,Bokaro,23.6814965034965,85.98398374125864,922.3681426388903,61.75151406418953
356,JHARKHAND,461790,232629,229161,259707,149568,110139,15330,262734,221332,121605,99727,103001,118331,240458,112378,95012,16770,51,33,15,8016,28769,351,2954,96759,14725,111484,306651,188323,494974,298844,100340,62244,66235,1102,10065,32713,12504,16335,13613,Jharkhand,Lohardaga,23.488796043165483,84.6605169064748,985.0921424242034,56.239199636198265
358,JHARKHAND,1939869,1006302,933567,1024563,621706,402857,536382,181208,713175,473042,240133,283702,429473,1226694,1683169,238295,6164,734,188,284,17270,68238,2155,19981,355529,52375,407904,1163521,803424,1966945,1244572,425668,268387,159105,8015,29434,167482,51012,82133,46445,Jharkhand,Palamu,24.196925968109337,84.20310842824594,927.720505375126,52.81609222066026
359,JHARKHAND,726978,369666,357312,350682,209706,140976,154910,331096,313379,180106,133273,117311,196068,413599,473049,69808,47653,120,128,16,2177,38194,340,6240,146377,14137,160514,404807,349277,754084,484084,152720,89870,63127,1268,8012,39512,10697,16406,14317,Jharkhand,Latehar,23.72511185840708,84.48298743362837,966.5806430669847,48.23832358063105
362,JHARKHAND,1321442,668514,652928,672409,406275,266134,79614,571077,624779,367108,257671,237479,387300,696663,1044726,106865,86404,234,267,162,11836,62110,1193,10396,303697,23281,326978,743623,601078,1344701,799323,324226,196164,175375,2912,23058,75323,32443,28625,26873,Jharkhand,Dumka,24.275006125574265,87.27662450229711,976.6856041907873,50.88448830898366
363,JHARKHAND,791042,404830,386212,426312,258260,168052,72885,240489,326631,214740,111891,122434,204197,464411,550560,164406,4419,520,118,783,5564,49419,808,4959,165555,20113,185668,428897,366012,794909,480895,189889,116810,116861,1632,16906,55601,31194,17759,14710,Jharkhand,Jamtara,23.97873318077801,86.95325080091534,954.01032532174,53.89246083014555
364,JHARKHAND,2914253,1494937,1419316,1911433,1085244,826189,152943,1042016,1142867,743967,398900,756176,386691,1771386,1612239,410759,193974,4826,932,2733,164237,350908,22538,76565,420740,310242,730982,2246309,613855,2860164,1742293,725938,409166,344888,34053,141089,334055,247137,237057,227932,Jharkhand,Ranchi,23.184235061391547,85.31781937244203,949.4152596397039,65.58912352496506
366,JHARKHAND,1025213,514390,510823,559720,321795,237925,32459,706754,487508,264774,222734,278931,208577,537705,309563,51429,202449,221,531,23,9108,31687,831,7807,216629,16445,233074,715941,322119,1038060,643579,225871,155452,130700,2181,16146,55186,18701,19181,19545,Jharkhand,Gumla,23.078532948929148,84.55056787479396,993.0655728144015,54.5954840603855
367,JHARKHAND,599578,300309,299269,343483,191991,151492,44674,424407,288645,159867,128778,155510,133135,310933,201524,15103,306601,51,753,114,3472,16865,423,4649,144169,11114,155283,397514,191341,588855,357859,143560,97817,86022,1158,9742,27504,7606,9228,9547,Jharkhand,Simdega,22.608760391198054,84.59193691931536,996.5369003259975,57.28745884605506
371,ORISSA,579505,296690,282815,405879,228092,177787,104620,176758,247707,172018,75689,172069,75638,331798,553587,12783,10462,1441,80,70,18950,81433,2498,7555,103224,73962,177186,408064,143508,551572,320156,159477,98555,102328,3966,32916,65742,57831,34457,35184,Orissa,Jharsuguda,21.827058566978184,83.93581682242987,953.2340153021672,70.03891252016807
372,ORISSA,1041099,526877,514222,703691,393192,310499,191827,355261,505840,313161,192679,336854,168986,535259,964188,20120,50637,2506,310,86,33612,126498,5231,14521,220697,94798,315495,708229,282248,990477,565700,286575,186726,176565,5946,47662,104722,91058,56306,56878,Orissa,Sambalpur,21.515752380952385,84.34958483245157,975.9811113409771,67.59117048426711
374,ORISSA,2093437,1061147,1032290,1342322,750147,592175,191660,1062349,873227,584687,288540,535112,338115,1220210,1532352,71391,385011,5713,710,721,77581,223537,12787,35024,387911,230151,618062,1388888,660465,2049353,1188918,573238,324436,341323,14641,102703,214427,164585,139057,132466,Orissa,Sundargarh,22.06354819277107,84.50524819277099,972.8058412265219,64.12048702683673
376,ORISSA,2519738,1256213,1263525,1369397,794171,575226,184682,1479576,1223534,697782,525752,548390,675144,1296204,2113079,33706,15008,661,162,109,29031,140189,2950,17999,689110,64479,753589,1455985,1094844,2550829,1449729,650135,414076,418435,6279,62502,166662,83167,61298,109355,Orissa,Mayurbhanj,21.897621545157754,86.4030408052231,1005.8206689470654,54.34680113567363
377,ORISSA,2320529,1185787,1134742,1621232,902359,718873,478586,275678,932707,684020,248687,618064,314643,1387822,2197709,94254,6434,237,111,201,36478,296834,7370,28289,601154,82440,683594,1742405,628627,2371032,1303828,622575,390611,365510,8591,75401,256167,161266,99843,145565,Orissa,Baleshwar,21.48570932311624,87.08085828011933,956.9526398923247,69.8647592854905
378,ORISSA,1506337,760260,746077,1094140,596269,497871,334896,30428,468599,409559,59040,328097,140502,1037738,1398543,104202,745,169,81,111,15864,164636,2637,15609,373862,54244,428106,1232900,323145,1556045,848660,393629,260486,184434,3670,34791,165031,86821,58614,62233,Orissa,Bhadrak,20.95262735257214,86.81496204516931,981.3445400257806,72.635804604149
379,ORISSA,1440361,717814,722547,1089265,579970,509295,309780,9484,466890,386382,80508,322265,144625,973471,1386792,50247,1423,169,62,52,15879,173107,1628,11836,414749,23494,438243,1242976,294723,1537699,771284,374559,290894,189402,2686,37980,172218,96234,53594,58387,Orissa,Kendrapara,20.606319815982264,86.83763247572003,1006.5936301047346,75.62444414976524
381,ORISSA,2624470,1352760,1271710,2011469,1103033,908436,498633,93745,936365,761876,174489,696274,240091,1688105,2457729,141263,11985,1026,6276,1180,103177,349587,15046,40589,579529,210768,790297,2062622,472182,2534804,1372301,743090,499895,391982,15494,132934,298570,236867,189715,205665,Orissa,Cuttack,20.407640646029623,85.7776810228802,940.0854549217895,76.64286503560719
383,ORISSA,1192811,612593,580218,829910,464093,365817,234079,162056,435533,340552,94981,277338,158195,757278,1185542,4805,727,124,366,39,19846,117172,1810,10600,315390,36979,352369,859997,341887,1201884,641697,326233,222398,159449,3533,36224,98136,66148,43089,51080,Orissa,Dhenkanal,20.79887159353349,85.53226836027711,947.1508815804294,69.57598479557952
385,ORISSA,962789,502636,460153,688362,392333,296029,136399,58691,343633,284591,59042,229076,114557,619156,955754,5278,383,107,33,24,11159,124984,1163,8278,261646,26688,288334,745059,232558,977617,502136,262086,196994,141578,2270,24290,88288,50425,30424,43798,Orissa,Nayagarh,20.192895622119817,85.05614700460825,915.4795915931211,71.49666230087797
386,ORISSA,2251673,1167137,1084536,1749936,957515,792421,297472,115051,792193,645880,146313,632625,159568,1459480,2147632,84060,12527,1264,475,476,160277,349860,35701,75588,331834,356895,688729,1945913,371244,2317157,1199521,653346,391701,325139,33514,165342,324544,253754,230931,230413,Orissa,Khordha,20.054162322274863,85.52234834123229,929.2276742147666,77.7171463174271
387,ORISSA,1698730,865380,833350,1291939,704857,587082,325133,6129,621676,498461,123215,450536,171140,1077054,1644905,46094,4239,193,243,94,33331,201605,3416,16006,402014,72210,474224,1395194,309790,1704984,888134,477430,328666,244309,4693,57033,178144,118112,83906,87997,Orissa,Puri,19.83509174603177,85.86698989898981,962.987358154799,76.05322799974098
388,ORISSA,3529031,1779218,1749813,2210050,1262652,947398,688235,118928,1501772,990027,511745,900744,601028,2027259,3486059,13315,23975,590,174,170,120191,405298,9049,41059,795476,219918,1015394,2340777,1055331,3396108,1980232,924756,613249,369914,9066,100866,368877,257515,170397,215821,Orissa,Ganjam,19.2632617564534,84.80297710437702,983.4730763740025,62.62483950976912
389,ORISSA,577817,282882,294935,262537,153663,108874,39175,313714,293933,155907,138026,170371,123562,283884,353160,1556,219482,53,2180,66,12035,63112,635,5523,152095,23050,175145,268110,335821,603931,345387,144043,85072,28704,656,8521,34820,23672,21818,23322,Orissa,Gajapati,19.121080882352945,84.14015091911759,1042.6078718334852,45.436011747664054
390,ORISSA,733110,359945,373165,399786,233900,165886,115544,392820,355349,193515,161834,167112,188237,377761,580300,2138,148895,82,290,47,6938,28736,768,6609,218446,24489,242935,450614,287948,738562,436625,177471,117777,66979,1278,11947,37068,19477,16664,19176,Orissa,Kandhamal,20.092878624813142,84.02216352765326,1036.7278334189946,54.53288046814257
394,ORISSA,610382,301962,308420,299383,180903,118480,82159,206327,305438,168155,137283,151694,153744,304944,601092,4952,1778,724,76,905,6414,43976,757,4221,197258,11869,209127,338480,316086,654566,344075,152681,112325,107595,1346,12482,38600,21975,15564,23219,Orissa,Nuapada,20.471309512195116,82.59152536585364,1021.3867970141939,49.048464731921975
395,ORISSA,1576869,787101,789768,802036,484177,317859,286580,449456,751930,447290,304640,376757,375173,824939,1555367,4975,11160,796,175,1225,17610,91171,1953,12622,456336,38412,494748,780451,765368,1545819,880160,415778,275533,226852,3547,34156,95057,58571,43839,47442,Orissa,Kalahandi,19.784253092783523,83.1124043814433,1003.3883834476134,50.86256372596583
396,ORISSA,967911,471960,495951,407735,241959,165776,139514,541905,467122,258032,209090,227815,239307,500789,874445,4607,84916,219,249,123,24924,61543,1553,9166,237343,49205,286548,346980,583140,930120,577569,245766,140825,80566,2090,19440,56834,42998,38841,33500,Orissa,Rayagada,19.292840020060204,83.45860120361095,1050.8326976862445,42.125257384201646
398,ORISSA,1379647,678809,700838,568090,340843,227247,196540,697583,693406,384053,309353,396460,296946,686241,1294151,8850,68550,518,219,491,39631,85766,3988,17294,381789,78339,460128,547812,770707,1318519,818578,348803,207206,112569,6922,37192,87649,60021,74594,58682,Orissa,Koraput,18.82627794779476,82.81278469846964,1032.4524277079415,41.17647485190052
399,ORISSA,613192,303624,309568,244706,147001,97705,138295,354614,310666,170495,140171,179030,131636,302526,600219,1871,10039,213,43,195,4738,24604,448,3908,167884,15839,183723,204863,390356,595219,381913,146355,83284,62048,820,10535,26853,16397,14559,12839,Orissa,Malkangiri,18.25227930367506,81.98293636363628,1019.5768450451874,39.906913332202635
400,CHHATTISGARH,658917,334737,324180,397823,229923,167900,54776,304280,307071,185483,121588,173057,134014,351846,604259,25878,9398,1391,84,1155,25605,80023,1667,7609,121852,59763,181615,457761,179639,637400,399581,165022,94073,67318,3402,26365,50432,38765,38370,35636,Chhattisgarh,Koriya,23.50412776859501,82.12515636363635,968.4618073293361,60.375282471085136
401,CHHATTISGARH,2359886,1193129,1166757,1187941,694686,493255,115652,1300628,1155807,649888,505919,622589,533218,1204079,2126195,81442,97432,2303,1287,623,29433,253131,2737,18983,525596,65167,590763,1299718,991866,2291584,1441436,561915,355077,277773,8096,56480,118767,74614,59109,130736,Chhattisgarh,Surguja,23.32719278728607,83.23582493887531,977.8967739448124,50.33891467638691
402,CHHATTISGARH,851669,424747,426922,495415,280656,214759,48844,530378,487360,263645,223715,291349,196011,364309,629509,15336,189588,474,467,694,6628,76783,567,5755,205670,20722,226392,529825,328438,858263,488965,214455,148100,100725,2442,15547,35940,20512,13683,27142,Chhattisgarh,Jashpur,22.77286167664669,83.8703962075848,1005.1206953786607,58.16989933882765
403,CHHATTISGARH,1493984,750278,743706,951639,542756,408883,224942,505609,690167,429211,260956,484875,205292,803817,1422986,17332,47653,2117,781,409,27771,297308,3342,13857,354278,66638,420916,1017307,460166,1477473,841958,398257,253488,225249,5979,50302,96724,98784,50603,69909,Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,991.240580158288,63.6980717330306
403,CHHATTISGARH,1493984,750278,743706,951639,542756,408883,224942,505609,690167,429211,260956,484875,205292,803817,1422986,17332,47653,2117,781,409,27771,297308,3342,13857,354278,66638,420916,1017307,460166,1477473,841958,398257,253488,225249,5979,50302,96724,98784,50603,69909,Maharashtra,Raigarh,18.453257637845976,73.0090609418579,991.240580158288,63.6980717330306
404,CHHATTISGARH,1206640,612915,593725,748759,433391,315368,124679,493559,521186,333329,187857,350314,170872,685454,1133176,30195,21059,3666,897,753,43357,202380,4544,18004,206598,126055,332653,780221,410186,1190407,729708,309479,166959,162148,8677,55579,90312,95963,67505,77854,Chhattisgarh,Korba,22.491712499999995,82.57604326923074,968.6906014700244,62.05322217065571
406,CHHATTISGARH,2663629,1351574,1312055,1596560,932474,664086,552992,498469,1203197,715467,487730,826568,376629,1460432,2540763,57973,20745,6373,2979,2357,77727,519704,8566,30892,549632,188174,737806,1624001,943112,2567113,1625484,655032,380114,345789,13137,84851,177334,193337,135945,171271,Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,970.7607574576012,59.939278330428145
406,CHHATTISGARH,2663629,1351574,1312055,1596560,932474,664086,552992,498469,1203197,715467,487730,826568,376629,1460432,2540763,57973,20745,6373,2979,2357,77727,519704,8566,30892,549632,188174,737806,1624001,943112,2567113,1625484,655032,380114,345789,13137,84851,177334,193337,135945,171271,Himachal Pradesh,Bilaspur,31.3780422907489,76.65316079295157,970.7607574576012,59.939278330428145
409,CHHATTISGARH,3343872,1682101,1661771,2303378,1284612,1018766,458040,397416,1496805,921729,575076,1206793,290012,1847067,3129745,83499,24304,24276,19587,17209,129193,614109,16141,51289,533448,349741,883189,2363288,823501,3186789,1919832,898241,523656,489008,28840,177048,315664,343369,235446,228551,Chhattisgarh,Durg,21.194463849287164,81.33181639511197,987.9139243125115,68.88355774383709
410,CHHATTISGARH,4063872,2048186,2015686,2629749,1493158,1136591,724250,476446,1757664,1099964,657700,1259138,498526,2306208,3881485,103038,23181,16707,8397,17137,166505,728556,20261,59523,673499,395001,1068500,2674728,1247434,3922162,2454299,1038155,560184,549069,30572,177517,340237,378113,259502,267090,Chhattisgarh,Raipur,20.88603153846152,82.20032759615388,984.1323004844287,64.71042887177549
411,CHHATTISGARH,1032754,511967,520787,637963,364089,273874,139581,279896,499260,291858,207402,340802,158458,533494,1008061,12570,5284,2941,521,1495,13200,212487,961,5614,274793,35774,310567,702532,384764,1087296,582544,272009,177826,175231,3546,31472,65540,68012,26449,48150,Chhattisgarh,Mahasamund,21.223727037773354,82.65925427435384,1017.2276728773535,61.772987565286606
412,CHHATTISGARH,799781,397897,401884,546833,303924,242909,58581,207633,402895,226382,176513,335368,67527,396886,777188,10425,2644,1196,667,3612,14568,148926,1016,4804,168689,41792,210481,572304,214637,786941,461125,213021,125429,119931,3069,30621,55660,67737,29042,50033,Chhattisgarh,Dhamtari,20.554912627291245,81.7569195519348,1010.0201811021445,68.37284206551544
414,CHHATTISGARH,1413199,698487,714712,650863,382335,268528,37963,931780,726531,404364,322167,394824,331707,686668,1277975,12413,27951,2099,985,3466,22075,157646,1782,9042,316425,54894,371319,656234,729550,1385784,864272,358157,189569,192012,4227,32802,58619,50155,48350,62326,Chhattisgarh,Bastar,19.393866751269048,81.52895126903546,1023.2287787746945,46.05600485140451
417,CHHATTISGARH,255230,128663,126567,86919,54076,32843,10122,204189,134525,71591,62934,69338,65187,120705,245151,1617,2709,68,1649,15,1022,12516,117,1462,50449,7942,58391,80069,163278,243347,167348,63802,23927,16830,305,2625,5033,4215,7780,2843,Karnataka,Bijapur,16.84015316666667,75.95909166666665,983.7093803191283,34.05516592877013
418,MADHYA PRADESH,687861,361784,326077,328025,208201,119824,108391,161448,277455,183788,93667,196189,81266,410406,638702,41396,230,6387,201,379,11701,74770,273,5393,150146,26376,176522,285152,393141,678293,449974,155063,82416,32178,1634,17878,57366,29266,38510,18710,Madhya Pradesh,Sheopur,25.78014810996563,77.16911116838484,901.3029874179068,47.687686901859536
419,MADHYA PRADESH,1965970,1068417,897553,1179685,747652,432033,421519,17030,675993,525329,150664,520970,155023,1289977,1875495,76159,1092,557,3234,6681,45113,131486,1781,20172,319298,95288,414586,1168209,706917,1875126,1254302,452484,257704,172169,5829,48525,195957,89156,183336,75574,Madhya Pradesh,Morena,26.37313504531724,77.88447341389724,840.0774229537717,60.00523914403577
420,MADHYA PRADESH,1703005,926843,776162,1094917,676513,418404,374799,6131,520768,455775,64993,422111,98657,1182237,1595400,66776,973,4047,12215,19950,32268,107819,1166,14368,271211,88385,359596,957870,388473,1346343,1040736,399676,258588,165675,4463,46137,177168,75539,181907,68734,Madhya Pradesh,Bhind,26.35951126187245,78.7618324287653,837.4255402479168,64.29323460588783
421,MADHYA PRADESH,2032036,1090327,941709,1357210,803114,554096,393068,72133,685311,548820,136491,559845,125466,1346725,1835299,141735,4119,24790,4361,18058,165061,306859,15779,46454,172720,272172,444892,1253339,554486,1807825,1218319,519728,291451,194763,21313,126189,253163,232840,278747,221052,Madhya Pradesh,Gwalior,26.04074441964285,78.12782433035713,863.6941027783408,66.79064740978998
422,MADHYA PRADESH,786754,420157,366597,491445,303815,187630,200270,15061,321160,225662,95498,247229,73931,465594,747693,28483,683,490,7923,453,17555,97696,616,5251,160453,43401,203854,513988,260076,774064,473097,195131,118186,65191,2897,25575,89056,55966,90102,35209,Madhya Pradesh,Datia,25.90226439560441,78.63916571428574,872.5238422780056,62.46488737267304
423,MADHYA PRADESH,1726050,919795,806255,900846,573242,327604,321515,227802,759281,481001,278280,577723,181558,966769,1648749,51200,1117,7151,3421,12171,35706,148128,1852,15304,367859,66759,434618,794589,719547,1514136,1106084,389652,227989,125237,5417,48952,148509,71501,111617,52090,Madhya Pradesh,Shivpuri,25.37802451874367,77.74861600810549,876.5594507471774,52.19118797253846
424,MADHYA PRADESH,1445166,760355,684811,747940,459353,288587,361604,67857,655318,402776,252542,470432,184886,789848,1383475,44143,588,251,109,15569,21489,132725,1090,10899,322772,60220,382992,711045,659348,1370393,898323,343824,201875,153933,4139,35388,140118,62828,95728,30506,Madhya Pradesh,Tikamgarh,25.14099852104666,78.89357064846428,900.6464085854634,51.75460812114318
425,MADHYA PRADESH,1762375,936121,826254,943033,572010,371023,405313,73597,751797,481518,270279,553862,197935,1010578,1676918,70351,1980,968,250,10409,36506,176056,1880,15567,375869,95048,470917,925604,770268,1695872,1112636,394060,252417,197839,6206,48339,180063,82967,120424,56851,Madhya Pradesh,Chhatarpur,24.813637376460004,79.56449299191374,882.6358985643949,53.50921341939144
